rnm,num_check,datetime,time_eat,smena,good,total_chek,price,pr_bez_nds,avg_price,profit,amount,position_good,summa,payment,check_unique,group,on-group,seasons,day,hour,date,revenue,mnth,quart
6916860058096,94721,2024-01-12 11:32:00,Завтрак,243,Пирожки 12.01.24,6000.0,6000.0,5000.0,13.53,4986.47,1.0,1,6000.0,cash,94721 - 6916860058096,Индивидуальный заказ,Индивидуальный заказ,Зима,Пятница,11,2024-01-12,5000.0,Январь,1 Квартал
6916860058096,95227,2024-01-15 11:02:00,Завтрак,244,Фуршет 15.01,13935.0,13935.0,11612.5,13935.0,-2322.5,1.0,1,13935.0,card,95227 - 6916860058096,Индивидуальный заказ,Индивидуальный заказ,Зима,Понедельник,11,2024-01-15,11612.5,Январь,1 Квартал
6916860058096,7118,2024-02-15 12:12:00,Обед,14,Фуршет Классен 12.02,17940.0,17940.0,14950.0,4233.91,10716.09,1.0,1,17940.0,card,7118 - 6916860058096,Индивидуальный заказ,Индивидуальный заказ,Зима,Четверг,12,2024-02-15,14950.0,Февраль,1 Квартал
6916901047427,1479,2024-02-26 14:14:00,Послеобеденный,20,Мероприятие Виноградова А.В.,10300.0,10300.0,8583.33,2915.88,5667.45,1.0,1,10300.0,card,1479 - 6916901047427,Индивидуальный заказ,Индивидуальный заказ,Зима,Понедельник,14,2024-02-26,8583.33,Февраль,1 Квартал
6916962051742,3481,2024-03-18 13:13:00,Обед,35,Кр.-манипул.устан. Bonfiglioli P10200L/2,702000.0,351000.0,292500.0,351000.0,-58500.0,2.0,1,702000.0,card,3481 - 6916962051742,Хрень,Хрень,Весна,Понедельник,13,2024-03-18,585000.0,Март,1 Квартал
6916962051742,4497,2024-03-29 17:22:00,Скидки,44,29.03.24 Павел Титоренко,2350.0,2350.0,1958.33,1697.4,260.92999999999984,1.0,1,2350.0,card,4497 - 6916962051742,Индивидуальный заказ,Индивидуальный заказ,Весна,Пятница,17,2024-03-29,1958.33,Март,1 Квартал
6916860058096,24655,2024-04-02 15:52:00,Послеобеденный,45,Фуршет 02.04.24,23720.0,23720.0,19766.67,9111.24,10655.429999999998,1.0,1,23720.0,cash,24655 - 6916860058096,Индивидуальный заказ,Индивидуальный заказ,Весна,Вторник,15,2024-04-02,19766.67,Апрель,2 Квартал
6916901047427,5530,2024-06-18 15:17:00,Послеобеденный,95,Фуршет Барсукова,9240.0,9240.0,7700.0,6124.23,1575.7700000000004,1.0,1,9240.0,card,5530 - 6916901047427,Индивидуальный заказ,Индивидуальный заказ,Лето,Вторник,15,2024-06-18,7700.0,Июнь,2 Квартал
6916962051742,11135,2024-07-22 16:00:00,Скидки,121,мероприятие 15.07.2024,3000.0,3000.0,2500.0,2592.85,-92.84999999999991,1.0,1,3000.0,cash,11135 - 6916962051742,Индивидуальный заказ,Индивидуальный заказ,Лето,Понедельник,16,2024-07-22,2500.0,Июль,3 Квартал
6916962051742,11136,2024-07-22 16:01:00,Скидки,121,мероприятие 15.07.2024,3000.0,3000.0,2500.0,2592.85,-92.84999999999991,1.0,1,3000.0,card,11136 - 6916962051742,Индивидуальный заказ,Индивидуальный заказ,Лето,Понедельник,16,2024-07-22,2500.0,Июль,3 Квартал
6916860058096,65391,2024-07-23 17:21:00,Скидки,121,УРАЛ-325512-0010-41 Средство транспортное специальное пассажирское № X1P325512B1369640,400000.0,400000.0,333333.33,400000.0,-66666.66999999998,1.0,1,400000.0,card,65391 - 6916860058096,Хрень,Хрень,Лето,Вторник,17,2024-07-23,333333.33,Июль,3 Квартал
6916901047427,6469,2024-08-06 12:26:00,Обед,130,Мероприятие 01.08.2024,7175.0,7175.0,5979.17,3835.1,2144.07,1.0,1,7175.0,card,6469 - 6916901047427,Индивидуальный заказ,Индивидуальный заказ,Лето,Вторник,12,2024-08-06,5979.17,Август,3 Квартал
6916962051742,12469,2024-08-13 16:14:00,Скидки,137,13.08.2024,14935.0,14935.0,12445.83,5737.52,6708.3099999999995,1.0,1,14935.0,card,12469 - 6916962051742,Индивидуальный заказ,Индивидуальный заказ,Лето,Вторник,16,2024-08-13,12445.83,Август,3 Квартал
6916860058096,79197,2024-08-28 16:54:00,Скидки,147,Электростанция дизельная с электростартером и коннектором автоматики DS 7000 DA ES,58000.0,58000.0,48333.33,58000.0,-9666.669999999998,1.0,1,58000.0,card,79197 - 6916860058096,Хрень,Хрень,Лето,Среда,16,2024-08-28,48333.33,Август,3 Квартал
6916860058096,80169,2024-08-30 16:34:00,Скидки,149,УАЗ-390995 Автомобиль грузовой фургон (XTT390995B0417964),108820.8,108820.8,90684.0,108820.8,-18136.800000000003,1.0,1,108820.8,card,80169 - 6916860058096,Хрень,Хрень,Лето,Пятница,16,2024-08-30,90684.0,Август,3 Квартал
6916962051742,14189,2024-09-11 11:32:00,Завтрак,158,Мероприятие 09.09.2024,2000.0,2000.0,1666.67,1162.19,504.48,1.0,1,2000.0,card,14189 - 6916962051742,Индивидуальный заказ,Индивидуальный заказ,Осень,Среда,11,2024-09-11,1666.67,Сентябрь,3 Квартал
6916962051742,14483,2024-09-16 13:58:00,Обед,161,Мероприятие 16.09.2024,7910.0,7910.0,6591.67,2742.05,3849.62,1.0,1,7910.0,card,14483 - 6916962051742,Индивидуальный заказ,Индивидуальный заказ,Осень,Понедельник,13,2024-09-16,6591.67,Сентябрь,3 Квартал
6916962051742,15899,2024-10-01 15:59:00,Послеобеденный,172,01.10.2024 Ипатов Н.А.,35900.0,35900.0,29916.67,10622.06,19294.61,1.0,1,35900.0,card,15899 - 6916962051742,Индивидуальный заказ,Индивидуальный заказ,Осень,Вторник,15,2024-10-01,29916.67,Октябрь,4 Квартал
6916962051742,16947,2024-10-14 18:15:00,Скидки,181,"Прицеп-вагон дом  передвижной типа  Сибирь  А8х2,8 на базе тракт.прицепа VIN:1385 (QCS-1-1.2010.054)",169720.0,114840.0,95700.0,114840.0,-19140.0,1.0,1,169720.0,card,16947 - 6916962051742,Хрень,Хрень,Осень,Понедельник,18,2024-10-14,95700.0,Октябрь,4 Квартал
6916962051742,16947,2024-10-14 18:15:00,Скидки,181,Вагончик складской на полозьях,169720.0,32440.0,27033.33,32440.0,-5406.669999999998,1.0,2,169720.0,card,16947 - 6916962051742,Хрень,Хрень,Осень,Понедельник,18,2024-10-14,27033.33,Октябрь,4 Квартал
6916962051742,16947,2024-10-14 18:15:00,Скидки,181,Вагон-дом без шасси бытовка,169720.0,22440.0,18700.0,22440.0,-3740.0,1.0,3,169720.0,card,16947 - 6916962051742,Хрень,Хрень,Осень,Понедельник,18,2024-10-14,18700.0,Октябрь,4 Квартал
6916860058096,99880,2024-10-18 08:57:00,Ранний завтрак,186,14.10.2024,16245.0,16245.0,13537.5,5350.83,8186.67,1.0,1,16245.0,card,99880 - 6916860058096,Индивидуальный заказ,Индивидуальный заказ,Осень,Пятница,8,2024-10-18,13537.5,Октябрь,4 Квартал
6916962051742,17519,2024-10-21 13:42:00,Обед,186,21.10.2024,1600.0,1600.0,1333.33,1079.02,254.30999999999995,1.0,1,1600.0,card,17519 - 6916962051742,Индивидуальный заказ,Индивидуальный заказ,Осень,Понедельник,13,2024-10-21,1333.33,Октябрь,4 Квартал
6916962051742,19035,2024-10-30 17:04:00,Скидки,193,30.10.2024,24040.0,24040.0,20033.33,23284.42,-3251.0899999999965,1.0,1,24040.0,card,19035 - 6916962051742,Индивидуальный заказ,Индивидуальный заказ,Осень,Среда,17,2024-10-30,20033.33,Октябрь,4 Квартал
