good,group,on-group
Яичница с беконом,Завтрак,Яичница
Сосиски отварные,Основное блюдо,Колбаски разные
Каша овсяная на молоке,Завтрак,Каши
Хлеб ржано-пшеничный,Хлеб,Хлеб
Каша рисовая на молоке,Завтрак,Каши
Кофе Американо КМ,Напитки,Кофе
Контейнер для супа(банка),Контейнер,Контейнер
Драник картофельный,Основное блюдо,Из овощей
Кекс Тыквенный,Выпечка и десерт,Кекс
Омлет с сыром,Завтрак,Омлет
Горячий бутерброд,Бутерброд,Горячий бутерброд
"Вода Бон Аква 0,5 л",Напитки,Вода
Блинчики,Выпечка,Блины
Джем в ассортименте 30 гр,Соус,Соус
Контейнер неразъемный,Контейнер,Контейнер
Блинчик с ветчиной и сыром,Выпечка,Блины
Контейнер для горячего(черный),Контейнер,Контейнер
Омлет натуральный,Завтрак,Омлет
Блинчик с творогом,Выпечка и десерт,Блины
Морс из черной смородины,Напитки,Морсы
Кофе Капучино КМ,Напитки,Кофе
Кофе Капучино Большой КМ,Напитки,Кофе
Запеканка из творога,Выпечка и десерт,Запеканка
Яичница-глазунья,Завтрак,Яичница
Каша овсяная на воде,Завтрак,Каши
Салат из свеклы с брынзой,Салат,Овощной
Сметана,Соус,Соус
"Сок RIOBA гранат, бут.",Напитки,Соки
Ветчина жареная,Основное блюдо,Колбаски разные
Хлеб пшеничный,Хлеб,Хлеб
Батончик Сникерс 50 гр,Снеки,Шоколадные батончики
Батончик Твикс,Снеки,Шоколадные батончики
Салат с айсбергом и помидорами,Салат,Овощной
Пай песочный с черной смородиной,Выпечка и десерт,Пай
Сметана 30 гр,Соус,Соус
Бутылка с пробкой,Контейнер,Бутылка
Кофе Латте Большой КМ,Напитки,Кофе
Чай пакетированный,Напитки,Чай
Морс из вишни,Напитки,Морсы
Соус HEINZ порц,Соус,Соус
Фреш-ролл с курицей,Бутерброд,Фреш-ролл
Ватрушка с творогом,Выпечка и десерт,Пироги
Кофе Лунго КМ,Напитки,Кофе
Смесь ореховая соленая,Снеки,Орехи
Кофе для персонала,Напитки,Кофе
Пирог Королевская ватрушка,Выпечка и десерт,Пироги
Йогурт с мюслями,Завтрак,Мюсли
Горчица 30 гр,Соус,Соус
Запеканка из творога с маком,Выпечка и десерт,Запеканка
Сосиска в тесте,Выпечка,Сосиска в тесте
Кофе Латте КМ,Напитки,Кофе
Пирожок с курицей и грибами,Выпечка,Пироги
Пирожок с капустой,Выпечка,Пироги
Яблоко,Фрукты,Яблоко
"Лимонад Кола,Спрайт ж/б 0,33 мл",Напитки,Лимонад
Яйцо отварное,Завтрак,Яйца
Плетенка с творогом,Выпечка и десерт,Пироги
Филе куриное запеченное с брокколи,Основное блюдо,Блюда из курицы
Пирожок с яблоком и брусникой,Выпечка и десерт,Пироги
Пирожок с вишней,Выпечка и десерт,Пироги
Индейка гриль,Основное блюдо,Блюда из индейки
Картофель запеченый с розмарином,Гарнир,Картофель
Фасоль стручковая с овощами,Гарнир,Фасоль
Котлеты Михайловские,Основное блюдо,Котлеты
Рис с маслом,Гарнир,Рис
Бульон куриный,Супы Горячие,Бульоны
Пампушка с чесноком и зеленью,Хлеб,Хлеб
Щи с курицей,Супы Горячие,Щи
Плов из курицы,Основное блюдо,Блюда из курицы
Салат Оливье с ветчиной,Салат,Оливье
Фасоль стручковая отварная,Гарнир,Фасоль
"Салат из кит.капусты с ред.,сметан,огурц",Салат,Овощной
Котлета из индейки,Основное блюдо,Котлеты
Соус сальса 30 гр,Соус,Соус
Салат Витаминый,Салат,Овощной
Салат Крабовый,Салат,Мясной
Макароны отварные с маслом,Гарнир,Макароны
Яйцо с гарниром,Гарнир,Прочие
Греча,Гарнир,Греча
Картофельное пюре,Гарнир,Картофель
Суп-крем овощной,Супы Горячие,Крем / Пюре
Соус тар-тар 30 гр,Соус,Соус
Отбивная из свинины в соусе Барбекю,Основное блюдо,Блюда из свинины
Потрошки куриные в сметанном соусе,Основное блюдо,Блюда из курицы
Салат Цезарь 165 гр,Салат,Цезарь
Гуляш из говядины,Основное блюдо,Блюда из говядины
Салат Грация,Салат,Прочие
Творожный рулет с персиком,Десерты,Рулеты
Пирожок с зеленым луком и яйцом,Выпечка,Пироги
Огурцы малосольные,Салат,Овощной
Салат из св.огурцов и помидоров,Салат,Овощной
Курица с овощами,Основное блюдо,Блюда из курицы
Пирожок с картофелем и грибами,Выпечка,Пироги
Сэндвич с лососем,Бутерброд,Сэндвич
Фрикадельки из свин. с гриб. в см.соусе,Основное блюдо,Блюда из свинины
Котлета рыбная,Основное блюдо,Котлеты
Меренговый рулет,Десерты,Рулеты
Салат Греческий 180 гр,Салат,Овощной
Творог порционный,Завтрак,Из творога
Контейнер крафт для горячего,Контейнер,Контейнер
Филе индейки отварное,Основное блюдо,Блюда из индейки
Салат Цезарь с креветками 165 гр,Салат,Цезарь
Фруктовое ассорти 150 гр,Фрукты,Набор
Булочка с корицей,Выпечка и десерт,Булочки
Булочка с маком,Выпечка и десерт,Булочки
Смесь ореховая сладкая,Снеки,Орехи
"Лимонад Черноголовка 0,5л",Напитки,Лимонад
Сэндвич с ветчиной и сыром,Бутерброд,Сэндвич
Пирожок с картофелем и луком,Выпечка,Пироги
Компот из сухофруктов,Напитки,Компот
Сэндвич с курицей,Основное блюдо,Блюда из курицы
Кофе Флэт Уайт КМ,Напитки,Кофе
Груша,Фрукты,Груша
Лепешка сырная,Выпечка,Пироги
Хрен столовый 30 гр,Соус,Соус
Боул с лососем,Основное блюдо,Боул
Боул с креветками,Основное блюдо,Боул
Каша рисовая на безлактозном молоке,Завтрак,Каши
Круассан с ветчиной и сыром,Бутерброд,Круассан
Фреш-ролл с ветчиной,Бутерброд,Фреш-ролл
Панакота с клубничным соусом,Десерты,Панакота
Батончик шоколадный в ассортименте,Снеки,Шоколадные батончики
"Сок RIOBA в ассортименте, бут.",Напитки,Соки
Круассан с курицей,Бутерброд,Круассан
Желе из вишни,Десерты,Желе
Блинчик с грибным жюльеном,Выпечка,Блины
Каша пшенная на молоке,Завтрак,Каши
Яичница с перцем,Завтрак,Яичница
Круассан с лососем,Бутерброд,Круассан
Омлет с ветчиной,Завтрак,Омлет
Каша ячневая на молоке,Завтрак,Каши
Драник морковный,Основное блюдо,Из овощей
Блинчик с вишней,Выпечка и десерт,Блины
Кофе Эспрессо КМ,Напитки,Кофе
Сырник,Завтрак,Из творога
Биточки куриные паровые,Основное блюдо,Котлеты
Морс из брусники,Напитки,Морсы
Молоко сгущеное 30 гр,Соус,Соус
"Ложки,вилки",Приборы,"Ложки,вилки"
Печенье творожно-кокосовое,Десерты,Печенье
Тирамису,Десерты,Пироженое
Вода пит. Боржоми,Напитки,Вода
Салат Оливье с колбасой,Салат,Оливье
Эскалоп,Основное блюдо,Блюда из мяса
Картофель запеченый,Гарнир,Картофель
Пирожок с мясом,Выпечка,Пироги
Шницель куриный,Основное блюдо,Блюда из курицы
Фрикассе из курицы,Основное блюдо,Блюда из курицы
Грибная похлебка с курицей,Супы Горячие,Мясные
Бульон куриный с рисом,Супы Горячие,Бульоны
Рыба по-польски,Основное блюдо,Рыба
Салат из свеклы с грецким орехом,Салат,Овощной
Салат из моркови и яблока,Салат,Овощной
Салат Цезарь с курицей,Салат,Мясной
Сельдь по-русски,Салат,Прочие
Микс салатных листьев,Салат,Овощной
Лечо по-домашнему,Салат,Овощной
Суп-крем из брокколи,Супы Горячие,Крем / Пюре
Зразы мясные с луком и яйцом,Основное блюдо,Котлеты
Булочки в ассортименте,Выпечка и десерт,Булочки
Митболы с сырным соусом,Основное блюдо,Блюда из мяса
Салат из кв.капусты с клюквой,Салат,Овощной
Жаркое из курицы,Основное блюдо,Блюда из курицы
Поджарка из свинины,Основное блюдо,Блюда из свинины
Чай каркаде пряный,Напитки,Чай
Салат Морской,Салат,Прочие
Свекла по-корейский,Салат,Овощной
Говядина тушеная с черносливом,Основное блюдо,Блюда из говядины
Шпинат тушеный в сливках,Гарнир,Овощной
Печень куриная жареная с луком,Основное блюдо,Блюда из курицы
Жев. резинка,Снеки,Жев. резинка
Люля из курицы,Основное блюдо,Блюда из курицы
Салат Нисуаз 185 гр,Салат,Прочие
Батончик Баунти,Снеки,Шоколадные батончики
Хлеб бородинский,Хлеб,Хлеб
Сок в ассортименте,Напитки,Соки
Желе из мандаринов,Десерты,Желе
Котлета Михайловская,Основное блюдо,Котлеты
Свинина корейка гриль,Основное блюдо,Блюда из свинины
Йогурт питьевой в ассортименте,Напитки,Кисло-молочное
Пирог песочный с лимоном,Выпечка и десерт,Пироги
Блинчик с курицей и грибами,Выпечка,Блины
Омлет с помидорами,Завтрак,Омлет
Салат из свежих овощей,Салат,Овощной
Яичница с сыром,Завтрак,Яичница
Кекс Творожный,Выпечка и десерт,Кекс
Блинчик с яблоком,Выпечка и десерт,Блины
Торт Малиновый чизкейк,Десерты,Торт
Контейнер треугольный,Контейнер,Контейнер
Кофе Флэт Уайт двойной,Напитки,Кофе
Картофель запеченый с сыром,Гарнир,Картофель
Кефир с мюслями,Завтрак,Мюсли
Филе куриное отварное,Основное блюдо,Блюда из курицы
Торт Медовик,Выпечка и десерт,Медовик
Шарлотка с яблоком и брусникой,Выпечка и десерт,Шарлотка
Тарталетка ягодная,Десерты,Пироженое
Винегрет,Салат,Овощной
"Студень из говяжьих ножек 1,0 кг",Основное блюдо,Блюда из говядины
"Салат Оливье 1,0 кг",Салат,Оливье
"Салат Сельдь под шубой 1,0 кг",Салат,Шуба
"Буженина из свиной шеи 1,0 кг",Основное блюдо,Блюда из свинины
"Медовик классический 1,0 кг",Торт цельный,Медовик
Набор Булочек Шу 4 вида,Выпечка и десерт,Булочки
Филе куриное с грибами,Основное блюдо,Блюда из курицы
Салат с фунчозой с курицей,Салат,Мясной
Котлета Московская,Основное блюдо,Котлеты
Борщ из кв.капусты с курицей,Супы Горячие,Борщ
Салат Греческий,Салат,Овощной
Котлета куриная жареная,Основное блюдо,Котлеты
Чиабатта 55 гр,Хлеб,Хлеб
Свекла запеченная с терияки,Гарнир,Овощной
Салат Сельдь под шубой,Салат,Шуба
Бульон куриный с лапшой,Супы Горячие,Бульоны
Чахохбили,Основное блюдо,Блюда из курицы
Сердечки куриные по-строгановски,Основное блюдо,Блюда из курицы
Суп-крем из цветной капусты,Супы Горячие,Крем / Пюре
Стейк из свиной шеи,Основное блюдо,Блюда из свинины
Рыба жареная в тесте,Основное блюдо,Рыба
Говядина в маринаде с имбирем,Основное блюдо,Блюда из говядины
Спагетти Карбонара,Основное блюдо,Паста
Салат из курицы с соусом из авокадо,Салат,Мясной
Ватрушка мясная с жюльеном грибным,Выпечка,Ватрушка
Салат кол-слоу с двумя видами капусты,Салат,Овощной
"Салат из ветчины,огурца,картофеля и перц",Салат,Мясной
Пицца Римская Пепперони кусок,Основное блюдо,Пицца
Торт брусничный с шоколадом,Десерты,Торт
Пхали из свеклы,Десерты,Пхали
Медовик классический,Выпечка и десерт,Медовик
Свиной кармашек,Основное блюдо,Блюда из свинины
Контейнер квадрат для пироженных,Контейнер,Контейнер
Салат Столичный,Салат,Оливье
Филе куриное гриль,Основное блюдо,Блюда из курицы
Батончик Пикник 38 гр,Снеки,Шоколадные батончики
Отбивная из свинины терияки,Основное блюдо,Блюда из свинины
Батончик Натс 50 гр,Снеки,Шоколадные батончики
Яичница с помидором,Завтрак,Яичница
Блинчик с мясом,Выпечка и десерт,Блины
Немецкий маковый творожник,Выпечка и десерт,Пироги
Муравейник К,Десерты,Торт
Драник тыквенный,Основное блюдо,Из овощей
Пай песочный с брусникой,Выпечка и десерт,Пай
Каша манная на молоке,Завтрак,Каши
Торт Сникерс,Десерты,Торт
Биточки мясные паровые,Основное блюдо,Котлеты
Кофе Капучино КМ на кокосовом молоке,Напитки,Кофе
Сметанник,Выпечка и десерт,Торт
Шашлык из курицы,Основное блюдо,Блюда из курицы
Филе куриное в соусе чили,Основное блюдо,Блюда из курицы
Суп гороховый,Супы Горячие,Овощной
Салат из б/к капусты с морковью и перцем,Салат,Овощной
Шницель куриный с сыром,Основное блюдо,Блюда из курицы
Пирожки 12.01.24,Индивидуальный заказ,Индивидуальный заказ
Бефстроганов из говядины,Основное блюдо,Блюда из говядины
Тефтели в молочном соусе,Основное блюдо,Блюда из мяса
Картофель отварной с маслом,Гарнир,Картофель
Салат Немецкий,Салат,Прочие
Салат из пекинской капусты и курицей,Салат,Овощной
Салат из тыквы запеченной с брынзой,Салат,Прочие
Капуста цветная на пару,Гарнир,Капуста
Филе лосося на гриле,Основное блюдо,Рыба
Салат Диетический,Салат,Прочие
Суп-крем из шпината,Супы Горячие,Крем / Пюре
Свинина корейка в соусе блю-чиз,Основное блюдо,Блюда из свинины
Рулет куриный с яйцом,Основное блюдо,Блюда из курицы
Салат Сырный с ветчиной,Салат,С Сыром
Томаты с моцареллой и соусом песто,Салат,Овощной
Свинина тушен. в красном соусе,Основное блюдо,Блюда из свинины
Батончик Марс 50г,Снеки,Шоколадные батончики
Пицца Римская острая  целая,Основное блюдо,Пицца
Желе из клубники,Десерты,Желе
Булочка Шу,Выпечка и десерт,Булочки
Кекс Морковный,Выпечка и десерт,Кекс
Каша пшеничная на молоке,Завтрак,Каши
Морс из клюквы,Напитки,Морсы
Молоко в кофе,Соус,Соус
Десерт Йогуртовый,Десерты,Кисло-молочное
Кофе Эспрессо двойной,Напитки,Кофе
Медовик шоколадный,Выпечка и десерт,Медовик
Салат из свеклы с яйцом,Салат,Овощной
Филе куриное с кабачками,Основное блюдо,Блюда из курицы
Фуршет 15.01,Индивидуальный заказ,Индивидуальный заказ
Салат из курицы с жареными грибами,Салат,Мясной
Щи из кваш.капусты с курицей,Супы Горячие,Щи
Салат из моркови по-корейски,Салат,Овощной
Бризоль из кур. филе,Основное блюдо,Блюда из курицы
Бульон куриный с вермишелью,Супы Горячие,Бульоны
Спагетти с курицей,Основное блюдо,Паста
Биточки куриные с копченой сметаной,Основное блюдо,Котлеты
Морковь со специами,Гарнир,Овощной
Котлета по-домашнему,Основное блюдо,Котлеты
Салат овощной с сельдереем,Салат,Овощной
Рыба с фасолью в соусом терияки,Основное блюдо,Рыба
Пицца Римская острая кусок,Основное блюдо,Пицца
Салат из перца с помидором и луком,Салат,Овощной
Сердечки куриные в соусе карри,Основное блюдо,Блюда из курицы
Котлета Пожарская,Основное блюдо,Котлеты
Пхали из шпината,Десерты,Пхали
Рулетики из свинины с овощами и сыром,Основное блюдо,Блюда из свинины
Эклер Ваниль 50 гр,Десерты,Пироженое
Печенье овсяное,Десерты,Печенье
Пай песочный с творогом,Выпечка и десерт,Пай
Котлета куриная паровая,Основное блюдо,Котлеты
Салат Сытный,Салат,Прочие
Филе куриное запеченное с помидорами,Основное блюдо,Блюда из курицы
"Салат из тыквы,моркови,ябл. и сельдерея",Салат,Прочие
Картофель запеченый с грибами,Гарнир,Картофель
Свинина в яблочном соусе,Основное блюдо,Блюда из свинины
Рыба в горчичном соусе,Основное блюдо,Рыба
Полба с грибами в сливках,Гарнир,Прочие
Салат Мимоза,Салат,Прочие
Суп фасолевый,Супы Горячие,Овощной
Чикенбургер,Бутерброд,Сэндвич
Салат Весенный,Салат,Овощной
Салат овощной с редисом,Салат,Овощной
"Бифштекс ""Любительский""",Основное блюдо,Блюда из мяса
Салат из свеклы с черносливом,Салат,Овощной
Салат Метелка,Салат,Прочие
Вода пит. Нарзан,Напитки,Вода
Салат Итальянский,Салат,Прочие
Фаршированные помидоры с сыром,Салат,Овощной
Биточки скобелевские,Основное блюдо,Котлеты
Апельсин,Фрукты,Цитрус
Салат из свеклы с маслом,Салат,Овощной
Торт Сметанник шоколадный,Десерты,Торт
Торт Шоколадный,Десерты,Торт
Кекс чернослив,Выпечка и десерт,Кекс
Чай имбирно-цитрусовый,Напитки,Чай
Торт банановый,Десерты,Торт
Салат с моцареллой и черри 180 гр,Салат,Прочие
Булочка Шу фисташка-малина,Выпечка и десерт,Булочки
Штрудель с яблоком,Выпечка и десерт,Штрудель
Свинина запеченая с грибами,Основное блюдо,Блюда из свинины
Борщ с курицей,Супы Горячие,Борщ
"Фасоль ""Пикатная""",Гарнир,Фасоль
Спагетти Болоньезе,Основное блюдо,Паста
Рулетики из курицы с овощами и сыр,Основное блюдо,Блюда из курицы
Салат с фасолью и овощами,Салат,Овощной
Салат Мясной,Салат,Мясной
Брокколи на пару,Гарнир,Овощной
Салат из морской капусты с краб.палочки,Салат,Овощной
Печень по-строгановкски,Основное блюдо,Блюда из мяса
Азу из говядины,Основное блюдо,Блюда из говядины
Творожный рулет с лимоном,Десерты,Рулеты
"Салат из курицы,сельдерея и фасоли",Салат,Мясной
Мандарин,Фрукты,Цитрус
Напиток из шиповника,Напитки,Морсы
Драник из кабачков,Основное блюдо,Из овощей
Картофель запеченный с сыром,Гарнир,Картофель
Рассольник по-ленинградски с курицей,Супы Горячие,Мясные
Свинина в тесте,Основное блюдо,Блюда из свинины
Капуста свежая жареная,Гарнир,Капуста
Салат из китайской капусты и сельдерея,Салат,Овощной
"Салат с огурцом, яблоком и сельдереем",Салат,Овощной
Зраза куриная с грибами,Основное блюдо,Блюда из курицы
Салат Деревенский,Салат,Прочие
Рыба с овощами в лодочке,Основное блюдо,Рыба
Салат Чамгу-Сэй,Салат,Прочие
Булгур с овощами,Гарнир,Овощной
Тайский рис с курицей,Основное блюдо,Блюда из курицы
Салат Кармен,Салат,Прочие
Фрикадельки куриные паровые,Основное блюдо,Блюда из курицы
Ш-д Риоба 5 гр,Десерты,Покупное
Молоко 230 мл,Напитки,Молоко
Кофе Капучино на банановом молоке КМ,Напитки,Кофе
Салат из помидор с перцем,Салат,Овощной
Батончик Пикник,Снеки,Шоколадные батончики
Эклер Сникерс,Десерты,Пироженое
Батончик Сникерс,Снеки,Шоколадные батончики
Биточки паровые из индейки,Основное блюдо,Котлеты
Каша кукурузная на молоке,Завтрак,Каши
Блинчик с картофелем и грибами,Выпечка,Блины
Кофе Ристретто КМ,Напитки,Кофе
Салат из б/к капусты с морковью и редькй,Салат,Овощной
Солянка по-домашнему с курицей,Супы Горячие,Мясные
Салат из крабовых палочек с огурцом,Салат,Прочие
